timestamp,value,unit,device_id,record_id
2026-05-18T00:00:00+00:00,103.7,mg/dL,demo-sensor,rec-00000
2026-05-18T00:05:00+00:00,95.3,mg/dL,demo-sensor,rec-00001
2026-05-18T00:10:00+00:00,101.9,mg/dL,demo-sensor,rec-00002
2026-05-18T00:15:00+00:00,94.2,mg/dL,demo-sensor,rec-00003
2026-05-18T00:20:00+00:00,104.5,mg/dL,demo-sensor,rec-00004
2026-05-18T00:25:00+00:00,100.0,mg/dL,demo-sensor,rec-00005
2026-05-18T00:30:00+00:00,102.0,mg/dL,demo-sensor,rec-00006
2026-05-18T00:35:00+00:00,101.1,mg/dL,demo-sensor,rec-00007
2026-05-18T00:40:00+00:00,94.4,mg/dL,demo-sensor,rec-00008
2026-05-18T00:45:00+00:00,99.5,mg/dL,demo-sensor,rec-00009
2026-05-18T00:50:00+00:00,98.5,mg/dL,demo-sensor,rec-00010
2026-05-18T00:55:00+00:00,103.7,mg/dL,demo-sensor,rec-00011
2026-05-18T01:00:00+00:00,97.0,mg/dL,demo-sensor,rec-00012
2026-05-18T01:05:00+00:00,94.4,mg/dL,demo-sensor,rec-00013
2026-05-18T01:10:00+00:00,102.8,mg/dL,demo-sensor,rec-00014
2026-05-18T01:15:00+00:00,101.6,mg/dL,demo-sensor,rec-00015
2026-05-18T01:20:00+00:00,106.5,mg/dL,demo-sensor,rec-00016
2026-05-18T01:25:00+00:00,102.6,mg/dL,demo-sensor,rec-00017
2026-05-18T01:30:00+00:00,95.4,mg/dL,demo-sensor,rec-00018
2026-05-18T01:35:00+00:00,102.5,mg/dL,demo-sensor,rec-00019
2026-05-18T01:40:00+00:00,104.7,mg/dL,demo-sensor,rec-00020
2026-05-18T01:45:00+00:00,101.7,mg/dL,demo-sensor,rec-00021
2026-05-18T01:50:00+00:00,107.4,mg/dL,demo-sensor,rec-00022
2026-05-18T01:55:00+00:00,103.8,mg/dL,demo-sensor,rec-00023
2026-05-18T02:00:00+00:00,107.6,mg/dL,demo-sensor,rec-00024
2026-05-18T02:05:00+00:00,98.1,mg/dL,demo-sensor,rec-00025
2026-05-18T02:10:00+00:00,100.1,mg/dL,demo-sensor,rec-00026
2026-05-18T02:15:00+00:00,106.6,mg/dL,demo-sensor,rec-00027
2026-05-18T02:20:00+00:00,107.5,mg/dL,demo-sensor,rec-00028
2026-05-18T02:25:00+00:00,104.5,mg/dL,demo-sensor,rec-00029
2026-05-18T02:30:00+00:00,106.1,mg/dL,demo-sensor,rec-00030
2026-05-18T02:35:00+00:00,104.1,mg/dL,demo-sensor,rec-00031
2026-05-18T02:40:00+00:00,101.5,mg/dL,demo-sensor,rec-00032
2026-05-18T02:45:00+00:00,103.6,mg/dL,demo-sensor,rec-00033
2026-05-18T02:50:00+00:00,106.8,mg/dL,demo-sensor,rec-00034
2026-05-18T02:55:00+00:00,106.1,mg/dL,demo-sensor,rec-00035
2026-05-18T03:00:00+00:00,107.3,mg/dL,demo-sensor,rec-00036
2026-05-18T03:05:00+00:00,109.5,mg/dL,demo-sensor,rec-00037
2026-05-18T03:10:00+00:00,106.3,mg/dL,demo-sensor,rec-00038
2026-05-18T03:15:00+00:00,103.6,mg/dL,demo-sensor,rec-00039
2026-05-18T03:20:00+00:00,110.3,mg/dL,demo-sensor,rec-00040
2026-05-18T03:25:00+00:00,109.8,mg/dL,demo-sensor,rec-00041
2026-05-18T03:30:00+00:00,107.7,mg/dL,demo-sensor,rec-00042
2026-05-18T03:35:00+00:00,101.8,mg/dL,demo-sensor,rec-00043
2026-05-18T03:40:00+00:00,102.5,mg/dL,demo-sensor,rec-00044
2026-05-18T03:45:00+00:00,107.3,mg/dL,demo-sensor,rec-00045
2026-05-18T03:50:00+00:00,111.7,mg/dL,demo-sensor,rec-00046
2026-05-18T03:55:00+00:00,105.3,mg/dL,demo-sensor,rec-00047
2026-05-18T04:00:00+00:00,106.2,mg/dL,demo-sensor,rec-00048
2026-05-18T04:05:00+00:00,112.4,mg/dL,demo-sensor,rec-00049
2026-05-18T04:10:00+00:00,102.9,mg/dL,demo-sensor,rec-00050
2026-05-18T04:15:00+00:00,105.2,mg/dL,demo-sensor,rec-00051
2026-05-18T04:20:00+00:00,109.1,mg/dL,demo-sensor,rec-00052
2026-05-18T04:25:00+00:00,109.0,mg/dL,demo-sensor,rec-00053
2026-05-18T04:30:00+00:00,112.9,mg/dL,demo-sensor,rec-00054
2026-05-18T04:35:00+00:00,103.1,mg/dL,demo-sensor,rec-00055
2026-05-18T04:40:00+00:00,105.1,mg/dL,demo-sensor,rec-00056
2026-05-18T04:45:00+00:00,114.7,mg/dL,demo-sensor,rec-00057
2026-05-18T04:50:00+00:00,105.5,mg/dL,demo-sensor,rec-00058
2026-05-18T04:55:00+00:00,115.5,mg/dL,demo-sensor,rec-00059
2026-05-18T05:00:00+00:00,111.1,mg/dL,demo-sensor,rec-00060
2026-05-18T05:05:00+00:00,114.6,mg/dL,demo-sensor,rec-00061
2026-05-18T05:10:00+00:00,116.1,mg/dL,demo-sensor,rec-00062
2026-05-18T05:15:00+00:00,104.6,mg/dL,demo-sensor,rec-00063
2026-05-18T05:20:00+00:00,115.0,mg/dL,demo-sensor,rec-00064
2026-05-18T05:25:00+00:00,112.9,mg/dL,demo-sensor,rec-00065
2026-05-18T05:30:00+00:00,110.0,mg/dL,demo-sensor,rec-00066
2026-05-18T05:35:00+00:00,105.5,mg/dL,demo-sensor,rec-00067
2026-05-18T05:40:00+00:00,106.1,mg/dL,demo-sensor,rec-00068
2026-05-18T05:45:00+00:00,112.2,mg/dL,demo-sensor,rec-00069
2026-05-18T05:50:00+00:00,107.7,mg/dL,demo-sensor,rec-00070
2026-05-18T05:55:00+00:00,110.8,mg/dL,demo-sensor,rec-00071
2026-05-18T06:00:00+00:00,107.3,mg/dL,demo-sensor,rec-00072
2026-05-18T06:05:00+00:00,118.1,mg/dL,demo-sensor,rec-00073
2026-05-18T06:10:00+00:00,111.3,mg/dL,demo-sensor,rec-00074
2026-05-18T06:15:00+00:00,111.5,mg/dL,demo-sensor,rec-00075
2026-05-18T06:20:00+00:00,111.2,mg/dL,demo-sensor,rec-00076
